Date,Sample.ID,Tank,Initial.Treatment,Secondary.Treatment,TimePoint,Homogenization,DNA.Extraction
16-Mar-16,EPI_41,Time0,Field,NA,Day0,20160912,20161025
16-Mar-16,EPI_42,Time0,Field,NA,Day0,20160912,20161028
16-Mar-16,EPI_43,Time0,Field,NA,Day0,20160912,20161025
16-Mar-16,EPI_44,Time0,Field,NA,Day0,20160912,20161025
26-Mar-16,EPI_103,Tank11,Low,NA,Day10,20160912,20161028
26-Mar-16,EPI_104,Tank11,Low,NA,Day10,20160912,20161007
26-Mar-16,EPI_111,Tank12,Super.Low,NA,Day10,20160912,20161007
26-Mar-16,EPI_113,Tank12,Super.Low,NA,Day10,20160912,20161007
26-Mar-16,EPI_119,Tank13,Ambient,NA,Day10,20160909,20161007
26-Mar-16,EPI_120,Tank13,Ambient,NA,Day10,20160909,20161007
26-Mar-16,EPI_127,Tank14,Low,NA,Day10,20160909,20161004
26-Mar-16,EPI_128,Tank14,Low,NA,Day10,20160909,20161004
26-Mar-16,EPI_135,Tank15,Ambient,NA,Day10,20160909,20161004
26-Mar-16,EPI_136,Tank15,Ambient,NA,Day10,20160909,20161004
26-Mar-16,EPI_143,Tank16,Super.Low,NA,Day10,20160909,20161028
26-Mar-16,EPI_145,Tank16,Super.Low,NA,Day10,20160909,20161007
29-Jul-16,EPI_151,Ambient,Ambient,NA,Day135,20160909,20161004
29-Jul-16,EPI_152,Ambient,Ambient,NA,Day135,20160909,20161004
29-Jul-16,EPI_153,Ambient,Ambient,NA,Day135,20160909,20161025
29-Jul-16,EPI_154,Ambient,Ambient,NA,Day135,20160909,20161025
29-Jul-16,EPI_159,Low,Low,NA,Day135,20160909,20161004
29-Jul-16,EPI_160,Low,Low,NA,Day135,20160909,20161004
29-Jul-16,EPI_161,Low,Low,NA,Day135,20160909,20161028
29-Jul-16,EPI_162,Low,Low,NA,Day135,20160909,20161007
29-Jul-16,EPI_167,Super.Low,Super.Low,NA,Day135,20160908,20160930
29-Jul-16,EPI_168,Super.Low,Super.Low,NA,Day135,20160908,20160930
29-Jul-16,EPI_169,Super.Low,Super.Low,NA,Day135,20160908,20161007
29-Jul-16,EPI_170,Super.Low,Super.Low,NA,Day135,20160908,20161007
8-Aug-16,EPI_175,Bin1,Low,Ambient,Day145,20160908,20160930
8-Aug-16,EPI_176,Bin1,Low,Ambient,Day145,20160908,20160930
8-Aug-16,EPI_181,Bin2,Ambient,Ambient,Day145,20160908,20161004
8-Aug-16,EPI_182,Bin2,Ambient,Ambient,Day145,20160908,20161004
8-Aug-16,EPI_184,Bin3,Ambient,Ambient,Day145,20160908,20161007
8-Aug-16,EPI_185,Bin3,Ambient,Ambient,Day145,20160907,20161007
8-Aug-16,EPI_187,Bin4,Super.Low,Ambient,Day145,20160907,20160930
8-Aug-16,EPI_188,Bin4,Super.Low,Ambient,Day145,20160907,20160930
8-Aug-16,EPI_193,Bin5,Low,Ambient,Day145,20160907,20161004
8-Aug-16,EPI_194,Bin5,Low,Ambient,Day145,20160907,20161004
8-Aug-16,EPI_199,Bin6,Super.Low,Ambient,Day145,20160907,20161004
8-Aug-16,EPI_200,Bin6,Super.Low,Ambient,Day145,20160907,20161004
8-Aug-16,EPI_205,Bin7,Ambient,Low,Day145,20160907,20160930
8-Aug-16,EPI_206,Bin7,Ambient,Low,Day145,20160906,20160930
8-Aug-16,EPI_208,Bin8,Low,Low,Day145,20160906,20161007
8-Aug-16,EPI_209,Bin8,Low,Low,Day145,20160906,20161007
8-Aug-16,EPI_214,Bin9,Super.Low,Low,Day145,20160906,20161004
8-Aug-16,EPI_215,Bin9,Super.Low,Low,Day145,20160906,20161004
8-Aug-16,EPI_220,Bin10,Super.Low,Low,Day145,20160906,20160930
8-Aug-16,EPI_221,Bin10,Super.Low,Low,Day145,20160906,20160930
8-Aug-16,EPI_226,Bin11,Ambient,Low,Day145,20160902,20161007
8-Aug-16,EPI_227,Bin11,Ambient,Low,Day145,20160902,20161007
8-Aug-16,EPI_229,Bin12,Low,Low,Day145,20160902,20160930
8-Aug-16,EPI_230,Bin12,Low,Low,Day145,20160902,20160930