Date,CRM.ID,Total.Alkalinity
20170517,0517-CRM-06,2256.49
20170517,0517-CRM-07,2264.99
20170517,0517-CRM-08,2266.09
20170517,CRM-END,2332.89327
20170531,0531-CRM-01,2343.91
20170531,0531-CRM-02,2297.03
20170531,0531-CRM-03,2292.75
20170531,0531-CRM-04,2381.35
20170531,0531-CRM-05,2323.57
20170531,0531-CRM-06,2331.37
20170531,0531-CRM-07,2321.43
20170531,0531-MIDDAYCRM-01,2304.06
20170531,0531-MIDDAYCRM-02,2277.78
20170531,0531-ENDCRM-01,2285.98
20170531,0531-ENDCRM-02,2256.45
20170607,CRM1,2321.74
20170607,CRM2,2267.1
20170607,CRM3,2264.88
20170607,CRM4,2255.72
20170607,CRM5,2256.36
20170607,CRM6,2227.48